Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108066,18.54,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",108067,31.60,E&S Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108068,7.49,Default-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108068,38.40,Default-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",108069,439.20,Default-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",108069,42.00,Default-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108070,4.55,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108070,31.50,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",108071,59.40,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",108071,6.00,Legal Services Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",108071,7.70,Legal Services Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Postage,Legal Services - Legal Services,"Personal Expense, Name Witheld",108071,1.73,Legal Services Admin-Postage,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",108072,8.90,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",108073,9.60,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",108074,5.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",108075,28.00,Default-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",108076,6.00,Legal Services Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",108077,15.89,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",108077,51.10,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108078,16.20,BRDO: PA System Support-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108078,12.35,BRDO: PA System Support-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108078,54.00,BRDO: PA System Support-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",108079,45.46,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",108079,14.50,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108080,4.85,Other Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108080,4.84,Other Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108080,12.50,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",108081,3.50,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",108081,8.10,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",108081,4.69,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",108082,4.10,OME Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108083,43.20,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108083,23.24,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108084,4.29,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108084,38.40,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108084,19.78,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108084,7.10,F&C Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108085,38.40,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",108085,31.45,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",108086,11.54,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",108087,58.00,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",108087,66.60,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",108087,3.90,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",108089,16.04,Legal Services Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",108089,47.00,Legal Services Admin-Taxi Services Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hotel & Accommodation Overseas,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",108090,245.40,E&S Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel Overseas,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",108090,1.98,E&S Devolved Admin-Rail Travel Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",108090,7.75,E&S Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",108090,17.58,E&S Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",108090,20.00,E&S Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",108090,47.96,E&S Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108091,30.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,
