Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ELIOR UK PLC,SK11 6ET,307069,Cost of food services,73669.98
Ministry of Defence,Ministry of Defence,03/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,301836,Fiscal asset under construction - capital in year addition,73520.42
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Spend on Inventory - General,LINCAD LIMITED,GU12 5QF,301592,Spend on Inventory - General,73375.20
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Fuel for military use,WATSON PETROLEUM LTD,SN15 5DN,303175,Cost of ground diesel fuel consumed,73315.65
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,303791,Spend on Inventory - General,73309.82
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,311184,Spend on Inventory - General,73295.76
Ministry of Defence,Ministry of Defence,04/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,FR AVIATION LIMITED,BH23 6NE,301975,Equipment support project costs,73112.00
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,311135,Consumption of medical dental and veterinary inventory,73063.96
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Spend on Inventory - General,FORBO FLOORING UK LIMITED,DE5 3NT,307571,Spend on Inventory - General,72839.08
Ministry of Defence,Ministry of Defence,28/02/2014,Navy Command,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,311147,Movement of service personnel,72722.10
Ministry of Defence,Ministry of Defence,24/02/2014,HO+CS,International contributions,CROWN AGENTS LIMITED,SM1 1EL,308996,Defence military assistance fund international subscriptions and other payments,72617.57
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,308058,Works services - excluding United States forces/NATO + married quarters,72501.90
Ministry of Defence,Ministry of Defence,28/02/2014,HO+CS,Fees for professional services,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,311277,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,72334.18
Ministry of Defence,Ministry of Defence,04/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK INTERNATIONAL GROUP PLC,KY11 2YD,301898,Spend on Inventory - General,72187.97
Ministry of Defence,Ministry of Defence,11/02/2014,Land Forces,Fees for professional services,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,304482,Fees for professional services excluding legal fees,72111.54
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,302877,Post design services which are not capitalised,71971.00
Ministry of Defence,Ministry of Defence,07/02/2014,Navy Command,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303360,Utilities consumed - electricity,71967.05
Ministry of Defence,Ministry of Defence,04/02/2014,HO+CS,Fees for professional services,SERCO LIMITED,RG27 9UY,302121,Fees for professional services excluding legal fees,71954.00
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Spend on Inventory - General,QINETIQ LIMITED,GU14 0LX,308694,Spend on Inventory - General,71874.00
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Fuel for military use,WATSON PETROLEUM LTD,SN15 5DN,305784,Cost of ground diesel fuel consumed,71826.86
Ministry of Defence,Ministry of Defence,18/02/2014,Air Command,IT and communication services,NATS (SERVICES) LIMITED,EH12 5HG,307202,Information technology services,71683.00
Ministry of Defence,Ministry of Defence,10/02/2014,Land Forces,Fees for professional services,CAPITA RESOURCING LTD,DL1 9HN,303829,Fees for professional services excluding legal fees,71416.43
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180508,Cost of ground diesel fuel consumed,70891.74
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,180627,Utilities consumed - heating oil,70615.10
Ministry of Defence,Ministry of Defence,11/02/2014,JFC,Building maintenance and accommodation stores,TRIUMPH FURNITURE LIMITED,CF48 1YH,304696,Building maintenance accommodation inventory,70254.36
Ministry Of Defence,National Army Museum  GIA,17/02/2014,Legal Fees,Operations,BUILDING DESIGN PARTNERSHIP LTD,,LN000071453,Legal Fees,70000.00
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,BEECHWOOD EQUIPMENT LIMITED,KT10 8BJ,302223,Equipment support non-project costs,69912.62
Ministry of Defence,Ministry of Defence,11/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,304509,Freight movement costs,69842.50
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Spend on Inventory - General,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,311413,Spend on Inventory - General,69842.00
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Spend on Inventory - General,BACHE PALLETS LTD,DY9 8HU,308888,Spend on Inventory - General,69840.00
Ministry of Defence,Ministry of Defence,18/02/2014,JFC,Medical treatment & stores and welfare services,NHS ENGLAND,WR5 2LG,307207,Medical health services,69479.07
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK INTERNATIONAL GROUP PLC,KY11 2YD,307916,Spend on Inventory - General,69324.52
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Spend on Inventory - General,RACE INDUSTRIAL (PRODUCTS) LTD,DY5 1QA,306217,Spend on Inventory - General,69148.42
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Spend on Inventory - General,REXEL UK LTD,NR3 2BE,310997,Spend on Inventory - General,69114.14
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AGROPHARM LTD,HP10 8LN,303207,Equipment support non-project costs,69000.00
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AGROPHARM LTD,HP10 8LN,308851,Equipment support non-project costs,69000.00
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Spend on Inventory - General,BARUM AND DEWAR LIMITED,EX31 1JY,311195,Spend on Inventory - General,68640.00
Ministry Of Defence,UKHO,25/02/2014,Purchased Services,Commercial Programmes,BAE Systems,,2000067967,Purchased Services,"68,488.40"
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,DEPARTMENT FOR REGIONAL DEVELOPMENT,BT1 9DJ,41246,Utilities consumed - water + sewage,68267.35
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Fees for professional services,CGI IT UK LIMITED,CF31 9AP,305369,"Advice and guidance on how to produce the product, but not production of the product itself.",68257.17
Ministry of Defence,Ministry of Defence,03/02/2014,Navy Command,"Public relations, including marketing and advertising",CABINET OFFICE,CF14 3UW,301401,Public relations services including items such as sales marketing and advertising,68000.00
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,RMADA LIMITED,SN10 1PY,311002,Equipment support non-project costs,67560.00
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,Rental of plant and machinery,BRISTOL MANAGED SERVICES LTD,BS16 5LL,310611,Plant + machinery operating lease,67544.80
Ministry of Defence,Ministry of Defence,26/02/2014,Air Command,Fuel for military use,HARVEST ENERGY LIMITED,W1G 0PU,180726,Cost of ground diesel fuel consumed,67523.54
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Spend on Inventory - General,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,306004,Spend on Inventory - General,67460.01
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Spend on Inventory - General,FORBO FLOORING UK LIMITED,DE5 3NT,306003,Spend on Inventory - General,66888.74
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Fuel for military use,HARVEST ENERGY LIMITED,W1G 0PU,180781,Cost of ground diesel fuel consumed,66391.03
Ministry of Defence,Ministry of Defence,17/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,306395,Spend on Inventory - General,66286.19
Ministry of Defence,Ministry of Defence,04/02/2014,Land Forces,Administration,KENT COUNTY COUNCIL,ME14 1RF,302012,General administration,65910.00
Ministry Of Defence,EMRFCA,14/02/2014,Injections / Projects RDEL and MNW,Estates Management,Sam Kirk Construction Ltd,,3420,Injections / Projects RDEL and MNW," 65,868.00 "
Ministry Of Defence,CIPF CA,13/02/2014,Medical treatment & stores and welfare services,Administration,BAE Systems Saudi Arabia Ltd.,,CO0005,Medical treatment & stores and welfare services,"65,460.90"
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Development costs for military equipment,FUJITSU SERVICES LIMITED,TW18 3BF,310770,Intangible fiscal asset  - in year capital addition,65449.33
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,MOTT MACDONALD LTD,CR9 2UL,310224,Fees for professional services excluding legal fees,65421.18
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SODEXO LTD,M50 0AL,302553,Estate + facilities management services - accommodation inventory + service,65231.30
Ministry of Defence,Ministry of Defence,05/02/2014,Land Forces,Administration,DRIVING STANDARDS AGENCY,NG1 6LP,200000018300,General administration,65000.00
Ministry of Defence,Ministry of Defence,28/02/2014,HO+CS,"Adminstration, claims, compensation and awards",ROTHIEMURCHUS LODGE,PH22 1QU,180788,Cost of claims/compensation and related expenses against MOD,65000.00
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,302606,Estate + facilities management services - accommodation inventory + service,64910.57
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180719,Cost of ground diesel fuel consumed,64802.59
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310078,Equipment support project costs,64519.66
Ministry of Defence,Ministry of Defence,24/02/2014,Land Forces,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,308956,Utilities consumed - heating oil,64174.25
Ministry of Defence,Ministry of Defence,11/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,MOTT MACDONALD LTD,CR9 2UL,304520,Fees for professional services excluding legal fees,64160.09
Ministry Of Defence,Defence Support Group,13/02/2014,Electricity,Business Stream 3,EDF ENERGY 1 LIMITED,,10228963,Electricity,64133.01
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,BRITISH GAS TRADING LIMITED,OX4 2JY,309577,Utilities consumed - electricity,63804.64
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Administration,DRIVER AND VEHICLE LICENSING AGENCY,SA6 7JL,200000018373,General administration,63777.05
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,307015,Utilities consumed - gas,63639.73
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,309623,Fiscal asset under construction - capital in year addition,63609.97
Ministry of Defence,Ministry of Defence,12/02/2014,JFC,Building maintenance and accommodation stores,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,304834,Building maintenance accommodation inventory,63360.00
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Food and clothing,HOBSON & SONS (LONDON) LIMITED,SS7 3AF,311369,Cost of purchasing and repairing clothing,63292.03
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Food and clothing,TURNER VIRR & CO. LTD,LS25 2DY,309451,Cost of purchasing and repairing clothing,63085.36
Ministry Of Defence,WXRFCA,24/02/2014,Injections / Projects RDEL and MNW,Estates Management,E G Carter & Company,,9570,Injections / Projects RDEL and MNW," 63,040.80 "
Ministry of Defence,Ministry of Defence,11/02/2014,Land Forces,Externally delivered education and training,SERCO LIMITED,RG27 9UY,304632,External military training ,62930.89
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,SOARING (OXFORD) LTD,NG23 5NG,304139,Equipment support non-project costs,62830.30
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Externally delivered education and training,WBL SERVICES LIMITED,OX2 9HA,311705,External military training ,62575.53
Ministry of Defence,Ministry of Defence,10/02/2014,Land Forces,Administration,THE HIGHLAND COUNCIL,IV3 5NX,304167,General administration,62518.00
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Externally delivered education and training,INZPIRE LIMITED,LN6 3QR,304962,External military training ,62365.76
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Design services and minor equipment purchases,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,311230,Equipment support project costs,62352.73
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,IT and communication services,ULTRA ELECTRONICS LIMITED,BH21 7SQ,301840,Information technology services,62083.17
Ministry Of Defence,UKHO,25/02/2014,Raw Material/ Finished Goods,Operations Production,Antalis McNaughton,,2000067883,Raw Material/ Finished Goods,"62,040.00"
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ELIOR UK PLC,SK11 6ET,309651,Cost of food services,62032.18
Ministry of Defence,Ministry of Defence,05/02/2014,HO+CS,Rent and rates,H M TREASURY,NR7 0HS,200000018310,Rent buildings - civil estate property,61961.43
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Research and development,OREGA (MANAGEMENT) LIMITED,KT16 8LA,308189,Research and development excluding defence science and technology laboratory,61932.66
Ministry of Defence,Ministry of Defence,11/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",DSV AIR & SEA LIMITED,M22 4NY,304371,Freight movement costs,61778.96
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Spend on Inventory - General,HOBSON & SONS (LONDON) LIMITED,SS7 3AF,304951,Spend on Inventory - General,61570.48
