Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Current grants paid to organisations including arms length bodies and educational establishments,ACCRINGTON & ROSSENDALE COLLEGE,PAYBACSAUTO224448,1875.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ACCRINGTON & ROSSENDALE COLLEGE,PAYBACSAUTO224448,26728.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ACCRINGTON & ROSSENDALE COLLEGE,PAYBACSAUTO224448,7740.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ACCRINGTON & ROSSENDALE COLLEGE,PAYBACSAUTO224448,8305.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ACCESS TO MUSIC LTD,PAYBACSAUTO224449,418509.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ACCESS TO MUSIC LTD,PAYBACSAUTO224449,38143.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ALTON COLLEGE,PAYBACSAUTO224450,425986.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ALTON COLLEGE,PAYBACSAUTO224450,6502.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AMERSHAM & WYCOMBE COLLEGE,PAYBACSAUTO224451,13313.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AMERSHAM & WYCOMBE COLLEGE,PAYBACSAUTO224451,327336.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,APCYMRU LTD,PAYBACSAUTO224452,868.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,APCYMRU LTD,PAYBACSAUTO224452,113644.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AQUINAS COLLEGE,PAYBACSAUTO224453,423680.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AQUINAS COLLEGE,PAYBACSAUTO224453,12384.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AQUINAS COLLEGE,PAYBACSAUTO224453,15262.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ARMY CADET FORCE ASSN CTC,PAYBACSAUTO224454,287000.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ASHTON UNDER LYNE SIXTH FORM COLLEGE,PAYBACSAUTO224455,929.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ASHTON UNDER LYNE SIXTH FORM COLLEGE,PAYBACSAUTO224455,8585.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ASHTON UNDER LYNE SIXTH FORM COLLEGE,PAYBACSAUTO224455,436896.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,"Current grants to schools, colleges and other educational establishments",ASKHAM BRYAN COLLEGE CO LTD,PAYBACSAUTO224456,76174.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Young People's Funding,"Current grants to schools, colleges and other educational establishments",ASKHAM BRYAN COLLEGE CO LTD,PAYBACSAUTO224456,-192.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ASKHAM BRYAN COLLEGE CO LTD,PAYBACSAUTO224456,17028.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ASKHAM BRYAN COLLEGE CO LTD,PAYBACSAUTO224456,562347.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ASKHAM BRYAN COLLEGE CO LTD,PAYBACSAUTO224456,146786.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AYLESBURY COLLEGE,PAYBACSAUTO224458,370316.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,AYLESBURY COLLEGE,PAYBACSAUTO224458,13313.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARNFIELD COLLEGE,PAYBACSAUTO224459,424253.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARNFIELD COLLEGE,PAYBACSAUTO224459,17957.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARNET AND SOUTHGATE COLLEGE,PAYBACSAUTO224460,783895.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARNET AND SOUTHGATE COLLEGE,PAYBACSAUTO224460,55418.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARNET AND SOUTHGATE COLLEGE,PAYBACSAUTO224460,1308.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARTON PEVERIL COLLEGE,PAYBACSAUTO224461,39032.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARTON PEVERIL COLLEGE,PAYBACSAUTO224461,562185.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARTON PEVERIL COLLEGE,PAYBACSAUTO224461,6192.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARROW IN FURNESS SIXTH FORM COLLEGE,PAYBACSAUTO224462,1910.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARROW IN FURNESS SIXTH FORM COLLEGE,PAYBACSAUTO224462,1548.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARROW IN FURNESS SIXTH FORM COLLEGE,PAYBACSAUTO224462,154090.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Local Authority Team,"Current grants to schools, colleges and other educational establishments",BARROW IN FURNESS SIXTH FORM COLLEGE,PAYBACSAUTO224462,5000.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARKING COLLEGE,PAYBACSAUTO224463,45821.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BARKING COLLEGE,PAYBACSAUTO224463,789932.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Current grants paid to organisations including arms length bodies and educational establishments,BARKING COLLEGE,PAYBACSAUTO224463,1664.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BASINGSTOKE COLLEGE OF TECHNOLOGY,PAYBACSAUTO224464,414984.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BASINGSTOKE COLLEGE OF TECHNOLOGY,PAYBACSAUTO224464,12074.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BLACKBURN COLLEGE,PAYBACSAUTO224465,22601.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BLACKBURN COLLEGE,PAYBACSAUTO224465,775346.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BLACKBURN COLLEGE,PAYBACSAUTO224465,7582.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,"Current grants to schools, colleges and other educational establishments",BEDFORD COLLEGE,PAYBACSAUTO224466,7398.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BEDFORD COLLEGE,PAYBACSAUTO224466,12461.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BEDFORD COLLEGE,PAYBACSAUTO224466,732194.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BEDFORD COLLEGE,PAYBACSAUTO224466,19814.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BEXLEY COLLEGE,PAYBACSAUTO224467,2477.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BEXLEY COLLEGE,PAYBACSAUTO224467,9580.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,BEXLEY COLLEGE,PAYBACSAUTO224467,535814.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,EAST RIDING COLLEGE,PAYBACSAUTO224468,6502.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,EAST RIDING COLLEGE,PAYBACSAUTO224468,272489.00 
