Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-453929-56091," 13,546.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-453948-56104," 13,829.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-453948-56104," 14,126.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-453964-56081," 15,099.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-453964-56081," 18,320.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-453929-56091," 20,310.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,WARWICK UNIVERSITY OF,PUBLIC,CV4 7AL,ERS-453965-56111," 20,436.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,QUEEN MARY AND WESTFIELD COLLEGE,PUBLIC,E1 2AX,ERS-453951-56105," 20,976.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,ST GEORGES HOSPITAL MEDICAL SCHOOL,PUBLIC,SW17 0RE,ERS-453957-56107," 21,563.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-453929-56091," 22,262.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,SHEFFIELD UNIVERSITY OF,PUBLIC,S10 2UH,ERS-453955-56106," 23,188.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,QUEEN MARY AND WESTFIELD COLLEGE,PUBLIC,E1 2AX,ERS-453951-56105," 24,327.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Library services,Health Improvement & Protection,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739669," 24,475.00 ",,Qualitative research with retailer - Healthy  Start vouchers,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,CAMBRIDGE UNIVERSITY OF,PUBLIC,CB2 1TN,ERS-453933-56093," 24,612.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,TEESSIDE UNIVERSITY OF,PUBLIC,TS1 3BA,ERS-453961-56109," 25,332.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,WARWICK UNIVERSITY OF,PUBLIC,CV4 7AL,ERS-453965-56111," 26,028.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,SHEFFIELD UNIVERSITY OF,PUBLIC,S10 2UH,ERS-453955-56106," 26,074.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-453939-56098," 26,283.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-454138-56122," 26,467.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,YORK UNIVERSITY OF,PUBLIC,YO10 5DD,ERS-453966-56112," 26,959.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,YORK UNIVERSITY OF,PUBLIC,YO10 5DD,ERS-453966-56112," 27,032.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Telephone costs,NHS Improvement and Efficiency,CABLE AND WIRELESS COMMUNICATION,LARGE,RG12 1RW,10879042," 27,440.24 ",,Telecoms - Special Charges,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-454135-56124," 27,749.75 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Conferences & seminars,WORKFORCE,CROWN BUSINESS COMMUNICATIONS LTD,SME,W14 0DA,105798," 30,000.00 ",,Leadership Awards - Development of Recognition Awards Process Stage 1,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-453939-56098," 30,559.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,ICNARC VOLUNTARY ORGANISATION,VCS,WC1H 9HR,ERS-453938-56097," 30,663.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,SWANSEA UNIVERSITY,PUBLIC,SA2 8PP,ERS-453960-56110," 31,745.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,External Consultancy Fees,INFORMATICS,CABLE & WIRELESS UK,,,14497307," 32,437.81 ",,,,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON (UCL),PUBLIC,WC1E 6BT,ERS-453962-56100," 32,665.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739661," 33,392.50 ",,Lifecourse Tracker: Adult Survey Phase 1 ,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,ABERDEEN UNIVERSITY OF,PUBLIC,AB24 3FX,ERS-453926-56089," 33,456.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,DUNDEE UNIVERSITY OF,PUBLIC,DD1 4HN,ERS-453936-56095," 34,308.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,SUSSEX UNIVERSITY OF,PUBLIC,BN1 9RH,ERS-453959-56108," 34,632.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-453939-56098," 34,795.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,CAMBRIDGE UNIVERSITY OF,PUBLIC,CB2 1TN,ERS-453933-56093," 35,057.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-453941-56099," 36,261.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-453941-56099," 36,623.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,SWANSEA UNIVERSITY,PUBLIC,SA2 8PP,ERS-453960-56110," 37,260.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,WARWICK UNIVERSITY OF,PUBLIC,CV4 7AL,ERS-453965-56111," 38,407.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-453963-56084," 42,093.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-453944-56102," 43,667.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",HM TREASURY (HMT),PUBLIC,SW1E 5EB,27260," 45,600.00 ",,GES Faststream Recruitment Charges (2012 scheme),Admin,
Department of Health,Department of Health,29/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739672," 48,600.00 ",,Mailing and fulfilment. Quit Kit reprint for Smokefree Generation and Jan-March 2012. ,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-453948-56104," 48,902.50 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,"PSF POLICY, STRATEGY & FINANCE",NATIONAL PATIENT SAFETY AGENCY (NPSA),PUBLIC,W1T 5HD,2190," 50,000.00 ",,,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,CAMBRIDGE UNIVERSITY OF,PUBLIC,CB2 1TN,ERS-453933-56093," 52,725.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BRISTOL UNIVERSITY OF,PUBLIC,BS8 1TH,ERS-453930-56092," 64,142.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-453948-56104," 68,207.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739649," 76,290.00 ",,Skin cancer campaign - magazine advertising,Programme,
Department of Health,Department of Health,29/02/2012,Outsourcing Contract,COMMISSIONING,THE PRIMARY CARE ALLIANCE,SME,,AL3335," 85,720.80 ",,Support for the implementation of clinical commissioning - Primary Care Alliance invoices 3331 and 3335,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-453948-56104," 94,073.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-453937-56086," 169,461.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,External Consultancy Fees,INFORMATICS,CAPGEMINI UK PLC,,,14213524," 200,000.00 ",,,,
Department of Health,Department of Health,29/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14516755," 266,311.43 ",,,,
Department of Health,Department of Health,29/02/2012,Policy Payments,SOCIAL CARE,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,4660789," 277,000.00 ",,Support for Integrated Drug Treatment System in prisons,Programme,
Department of Health,Department of Health,29/02/2012,Policy Payments,SOCIAL CARE,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,VCS,EC1M 5LG,40207897," 300,000.00 ",,Improvement and Development Agency for Local Government (IDeA) - Extension of Adult Social Care Efficiency Programme to an additional 15 local authorities.,Programme,
Department of Health,Department of Health,29/02/2012,Outsourcing Contract,NHS Improvement and Efficiency,POHWER,VCS,SG1 5DZ,SINV862," 354,709.00 ",,The extension of the current ICAS contract for the provision of independent advocacy by POhWER,Programme,
Department of Health,Department of Health,29/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14516759," 710,372.13 ",,,,
