Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WILTSHIRE COUNCIL,4000058945,"1,722,532.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WOKINGHAM BOROUGH COUNCIL,4000058946,"2,589,415.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WOLVERHAMPTON CITY COUNCIL,4000058947,"6,435,867.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WORCESTERSHIRE COUNTY COUNCIL,4000058948,"12,003,164.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,YORK CITY COUNCIL,4000058949,"1,707,595.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Free School Group,ARK SCHOOLS,4000058952,"63,903.89","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,CARSHALTON HIGH SCHOOL FOR GIRLS,4000058957,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,E ACT,4000058961,"80,393.65","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,DfE Programme Costs,Academies Delivery Group,EC HARRIS LLP,4000058962,"41,964.12",Payment for developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,GREAT CHESTERFORD CE PRIMARY SCHOOL,4000058965,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Capital Grants,School Resources Group,HARRIS CTC,4000058966,"210,473.53","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,HOPE VALLEY COLLEGE,4000058967,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,JOYDENS WOOD INFANT SCHOOL,4000058969,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,JOYDENS WOOD JUNIOR SCHOOL,4000058970,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,MAIDEN BEECH SCHOOL,4000058973,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,MELBOURN VILLAGE COLLEGE,4000058975,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,DfE Programme Costs,Academies Delivery Group,MOUCHEL MANAGEMENT CONSULTING LTD,4000058977,"26,376.60",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,DfE Programme Costs,Academies Delivery Group,MOUCHELPARKMAN SERVICES LTD,4000058978,"55,644.72", Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,NONSUCH HIGH SCHOOL FOR GIRLS,4000058981,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,OUTWOOD GRANGE ACADEMIES TRUST,4000058982,"37,098.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,DfE Programme Costs,Academies Delivery Group,PKF UK LTD,4000058983,"79,302.88", Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,DfE Programme Costs,Free School Group,PKF UK LTD,4000058983,"32,605.87",Programme Management costs for development of University Technology Colleges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,RASTRICK HIGH SCHOOL,4000058986,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,RYBURN VALLEY HIGH SCHOOL,4000058992,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,SOUTHFIELD JUNIOR SCHOOL,4000058995,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,ST JOHNS CHURCH OF ENGLAND PRIMARY SCHOOL,4000058997,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,ST MARKS WEST ESSEX CATHOLIC SCHOOL,4000058999,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Capital Grants,School Resources Group,THE ST MATTHEWS ACADEMY CAPITAL,4000059002,"218,088.00","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Academies Delivery Group,THE WILLIAM AVERY CE PRIMARY SCHOOL,4000059003,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Capital Grants,School Resources Group,UNITED LEARNING TRUST,4000059005,"136,493.14","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Professional Services Other,Academies Delivery Group,VEREDUS C/O CAPITA RESOURCING LTD,4000059006,"214,726.19","Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,ADAMS GRAMMAR SCHOOL,4000059120,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Capital Grants,School Resources Group,ATKINS LTD,4000059122,"77,638.37",Capital grant paid to a private sector organisation,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,BOURNE WESTFIELD PRIMARY SCHOOL,4000059125,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,BROUGHTON PRIMARY SCHOOL,4000059126,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Capital Grants,School Resources Group,HARRIS ACADEMY MERTON,4000059140,"189,578.57","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Capital Grants,School Resources Group,HARRIS GIRLS ACADEMY EAST DULWICH,4000059141,"355,768.14","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,HAVELOCK ACADEMY NEW ACADEMY PROJECT TEAM,4000059142,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,KATHERINE LADY BERKELEYS SCHOOL,4000059158,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,LICKHILL PRIMARY SCHOOL,4000059160,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,SIR WILLIAM ROMNEYS SCHOOL,4000059173,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,ST GEORGES SCHOOL,4000059174,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Academies Delivery Group,THE THRIFTWOOD SCHOOL,4000059176,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,05/08/2011,DfE Programme Costs,Free School Group,APPLEYARDS LTD,4000059195,"29,919.60",Programme management costs for development of studio school.,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,05/08/2011,Current Grants,Academies Delivery Group,DYSON PERRINS CE SPORTS COLLEGE,4000059206,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,DfE Programme Costs,Academies Delivery Group,EC HARRIS LLP,4000059266,"53,264.40",Payment for developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,Current Grants,Academies Delivery Group,GRETTON PRIMARY SCHOOL,4000059267,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,Current Grants,Academies Delivery Group,HEANOR GATE SCIENCE COLLEGE,4000059268,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,DfE Programme Costs,Academies Delivery Group,PKF UK LTD,4000059279,"32,601.60",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,DfE Programme Costs,Academies Delivery Group,PLACE GROUP LTD,4000059280,"48,407.49",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,Capital Grants,School Resources Group,THE JCB ACADEMY,4000059286,"239,197.28","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Current Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000059320,"125,509.59","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Current Grants,Academies Delivery Group,ANSFORD SCHOOL,4000059321,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Current Grants,Academies Delivery Group,CAMBRIDGE PARK SCHOOL,4000059325,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000059328,729.5,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000059328,347.68,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000059328,96.79,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,325.17,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000059328,583.96,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,"1,029.67",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Personnel Related,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,57.48,Costs related to subsistence and lodging allowances for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,74.11,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,194.62,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,216.86,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,132.88,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,65.16,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000059328,"1,278.84",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000059328,472.19,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000059328,321.42,Costs related to staff travel expenses for official duty,Commercial
