Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Met Office,28/05/2010,11 Services,Science And Technology,Norwegian Meteorological Inst,283520,41480
Ministry of Defence,Ministry of Defence,06/05/2010,IT and communication services,Air Command,MATRIX DISPLAY SYSTEMS LTD,629649,41457.18
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,BRACKNELL FOREST BOROUGH COUNCIL,637627,41153.33
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,B M T DEFENCE SERVICES LTD,629264,41146.61
Ministry of Defence,Ministry of Defence,10/05/2010,Fuel for military use,Defence Equipment & Support,WATSON PETROLEUM LTD,631756,41132.62
Ministry of Defence,Ministry of Defence,27/05/2010,Estate management,Defence Estates,LENGELING SERVICE GMBH UMWELTSERVICE GMBH,5000035649,41040.96
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Programme Office,AWE,V - 9000122615 - 00079031,40926.73
Ministry of Defence,Ministry of Defence,12/05/2010,Estate management,Navy Command,CORPS OF COMMISSIONAIRES  MANAGEMENT LIMITED,632596,40869.7
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Land Forces,CHUBB SECURITY PERSONNEL LIMITED,636251,40861.39
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Land Forces,FORBO FLOORING UK LIMITED,634196,40724.99
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,HERTSMERE BOROUGH COUNCIL,637827,40601.53
Ministry of Defence,Ministry of Defence,06/05/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,UNIVAR LIMITED,630012,40529.71
Ministry of Defence,Ministry of Defence,26/05/2010,Transport hire charges,Land Forces,EUROPCAR AUTOVERMIETUNG,5000035550,40496.81
Ministry of Defence,Ministry of Defence,24/05/2010,Externally delivered education and training.,Land Forces,ROYAL ARTILLERY CENTRE FOR PERSONAL DEVELOPMENT,638838,40396.11
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,CHICHESTER DISTRICT COUNCIL,637686,40393.49
Ministry of Defence,Ministry of Defence,19/05/2010,Externally delivered education and training.,Air Command,STAFFORDSHIRE UNIVERSITY,636773,40362.5
Ministry of Defence,Ministry of Defence,31/05/2010,Medical treatment & stores and welfare services.,Central TLB,BJAB School,ESG28,40112.18
Ministry of Defence,Ministry of Defence,05/05/2010,Externally delivered education and training.,Land Forces,NORD ANGLIA VOCATIONAL EDUCATION AND TRAINING SERVICES LIMITED,135064,40012.62
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,ALTA INNOVATIONS LIMITED,V - 9000122561 - 00078077,40000
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Air Command,CARILLION (AMBS) LIMITED,633315,40000
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Central TLB,ARVAL UK LTD,639749,39902.53
Ministry of Defence,Ministry of Defence,14/05/2010,Food and clothing,Land Forces,ISS MEDICLEAN LTD,634248,39666.81
Ministry of Defence,Ministry of Defence,04/05/2010,Food and clothing,Defence Equipment & Support,SERCO LIMITED,628413,39645.11
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Professional Services,Operations,CRANFIELD UNIVERSITY,V - 9000122785 - 00080933,39626
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,ERA TECHNOLOGY LIMITED,V - 9000122949 - 00081840,39600
Ministry of Defence,Ministry of Defence,05/05/2010,Payments on behalf of Defence Support Group,Central TLB,SSE ENERGY SUPPLY LIMITED,629100,39493.99
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,ATLAS ELEKTRONIK UK LIMITED,V - 9000122681 - 00078793,39491
Ministry of Defence,Ministry of Defence,21/05/2010,Food and clothing,Air Command,AVENANCE PLC,637581,39487.57
Ministry of Defence,Ministry of Defence,19/05/2010,IT and communication services,Central TLB,QUINTICA KENYA LTD ,58,39404.85
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Air Command,FORBO FLOORING UK LIMITED,632680,39358.84
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,TAUNTON AEROSPACE LIMITED,629947,39346.05
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of buildings and military equipment ,Defence Estates,GIFFORD LLP,636367,39345.53
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000123122 - 00081649,39306.45
Ministry of Defence,Ministry of Defence,05/05/2010,Fees for professional services,Land Forces,ENTEC U K LTD,628723,39305.77
Ministry of Defence,Ministry of Defence,07/05/2010,General services and support,Defence Equipment & Support,QINETIQ LIMITED,630802,39252
Ministry of Defence,Ministry of Defence,04/05/2010,General services and support,Command Joint Operations,CANON (UK) LIMITED,5000034168,39142.57
Ministry of Defence,Ministry of Defence,27/05/2010,Design services and minor equipment purchases,Land Forces,LIFE FITNESS (U K) LTD,641529,39132.46
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,CENTURION SAFETY PRODUCTS LTD,631133,39115.77
Ministry of Defence,Ministry of Defence,07/05/2010,Food and clothing,Land Forces,TECHNOGYM U K LIMITED,630924,39103.24
Ministry of Defence,Ministry of Defence,04/05/2010,Externally delivered education and training.,Land Forces,BLADERUNNER LTD,628067,38845
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,BURDENS LIMITED,631109,38700
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Land Forces,ARAMARK LTD,636920,38631.92
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Defence Equipment & Support,AQUA COLDHARBOUR PARTNERSHIP LLP,640451,38628.13
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Land Forces,MOUNT KENYA SAFARI CLUB,2000008338,38571.43
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Defence Estates,WILTSHIRE COUNCIL,640399,38569.5
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Professional Services,Corporate,ATKINSADVANTAGE TECHNICAL CONSULTING LIMITED,V - 9000123305 - 00082010,38500.68
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,630828,38496
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,38361.11
Ministry of Defence,Ministry of Defence,27/05/2010,Fees for professional services,Land Forces,ENTEC U K LTD,641418,38328.15
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ANIXTER LIMITED,628535,38204.49
Ministry of Defence,Met Office,21/05/2010,Plant And Equipment,Chief Financial Officer,Agt  Electrical ( Exeter ) Limited,293048,38195
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Air Command,CARILLION (AMBS) LIMITED,637668,38104.19
Ministry of Defence,Ministry of Defence,14/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,HOEBER-REISEN KG,5000034951,38042.16
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,ATLAS ELEKTRONIK UK LIMITED,V - 9000123107 - 00078776,38000
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Air Command,INVICTA AVIATION LIMITED,637149,37950
Ministry of Defence,Ministry of Defence,17/05/2010,Building maintenance and accommodation stores,Defence Equipment & Support,H MORRIS & CO LTD,GPC1,37946.39
Ministry of Defence,Ministry of Defence,05/05/2010,Medical treatment & stores and welfare services.,Air Command,COYLE PERSONNEL PLC,628665,37928.69
Ministry of Defence,National Museum of the Royal Navy,01/05/2010,GIA payments,National Museum of the Royal Navy,RMM,454,37868
Ministry of Defence,Ministry of Defence,21/05/2010,Externally delivered education and training.,Central TLB,NATIONAL SCHOOL OF GOVERNMENT,637952,37860
Ministry of Defence,National Museum of the Royal Navy,01/05/2010,GIA payments,National Museum of the Royal Navy,FAAM,455,37797
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,628009,37756.18
Ministry of Defence,Ministry of Defence,13/05/2010,Payment of utilities,Land Forces,ENERTEC HAMELN GMBH.,5000034885,37751.24
Ministry of Defence,Ministry of Defence,12/05/2010,Estate management,Air Command,MOUCHEL MANAGEMENT CONSULTING LTD,135324,37750.6
Ministry of Defence,Ministry of Defence,12/05/2010,Fuel for military use,Defence Estates,ARVAL UK LTD,632471,37657.45
Ministry of Defence,Ministry of Defence,13/05/2010,Design services and minor equipment purchases,Land Forces,TEAM LEYLAND INTERNATIONAL LIMITED,633852,37639.92
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Land Forces,SAVILLS (L&P) LTD,640264,37539.36
Ministry of Defence,Ministry of Defence,06/05/2010,Payment of utilities,Defence Estates,TOTAL GAS & POWER LIMITED,629986,37486.45
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ANIXTER LIMITED,628023,37359
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Defence Equipment & Support,JACOBS ENGINEERING U.K. LIMITED,135415,37340
Ministry of Defence,United Kingdom Hydrographic Office,24/05/2010,Raw Materials - Paper,Print & Supply,Antalis McNaughton Group,5100077865,37330.84
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Defence Equipment & Support,CHUBB FIRE LTD,631902,37201.21
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,637492,37168
Ministry of Defence,Ministry of Defence,19/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,636691,37048
Ministry of Defence,Ministry of Defence,17/05/2010,Medical treatment & stores and welfare services.,Land Forces,THE LOCUM PRACTICE LIMITED,635408,37039.68
Ministry of Defence,Ministry of Defence,26/05/2010,Estates - Equipment/Works,Defence Estate - SSG,KNOTTY ASH WOODWORKING          ,PMT - 041,37025.91
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,631319,36938.99
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,THALES UK LIMITED,V - 9000122978 - 00077979,36925
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Land Forces,VEOLIA UMWELTSERVICE NORD-WEST  GMBH,5000034537,36886.18
Ministry of Defence,Defence Support Group,12/05/2010,Electricity,Business Stream 1,THE ACCOUNTING OFFIC,424049,36852.36
Ministry of Defence,Ministry of Defence,27/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,36832.14
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Professional Services,Operations,EXPONENT INTERNATIONAL LIMITED,V - 9000123108 - 00076532,36755.06
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Navy Command,CAPITA SYMONDS LTD,628630,36712
Ministry of Defence,Met Office,07/05/2010,Services,Science And Technology,Cable & Wireless Uk,291729,36670.8
Ministry of Defence,Ministry of Defence,27/05/2010,Medical treatment & stores and welfare services.,Air Command,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,2.00E+11,36650.83
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,36560.46
Ministry of Defence,Ministry of Defence,12/05/2010,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,135319,36558.37
Ministry of Defence,Ministry of Defence,13/05/2010,Fees for professional services,Central TLB,DEPARTMENT FOR WORK AND PENSIONS,633370,36507.51
Ministry of Defence,Ministry of Defence,19/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,SFM TECHNOLOGY LIMITED,636743,36463.78
Ministry of Defence,Ministry of Defence,06/05/2010,General services and support,Defence Equipment & Support,QINETIQ LIMITED,629828,36442.09
Ministry of Defence,Ministry of Defence,28/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,642620,36277.45
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Materials & Equipment,Operations,ALCOA EUROPE LIMITED,V - 9000122823 - 00078610,36252.6
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,CONWAY PACKING SERVICES LTD,628659,36150.23
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,TEWKESBURY BOROUGH COUNCIL,638285,36127
Ministry of Defence,Ministry of Defence,18/05/2010,Externally delivered education and training.,Land Forces,TQ EDUCATION AND TRAINING  LIMITED,636097,36095
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Land Forces,L WHITAKER & SONS (1983) LIMITED,629602,36086.63
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,RAYTHEON SYSTEMS LIMITED,V - 9000122582 - 00077203,36000
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,RISKAWARE LIMITED,V - 9000123016 - 00080209,36000
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,639820,35977.04
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,638247,35974.52
Ministry of Defence,Ministry of Defence,20/05/2010,Payment of utilities,Defence Equipment & Support,HENTY OIL LTD,637138,35937.02
Ministry of Defence,Ministry of Defence,11/05/2010,Medical treatment & stores and welfare services.,Air Command,LOCUM LINK (DIRECT) LIMITED,632080,35812.27
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Energy & Utility,Infrastructure,SCOTTISH HYDRO ELECTRIC GAS LIMITED,V - 9000123282 - 00081900,35805.15
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,634669,35680.16
Ministry of Defence,Met Office,26/05/2010,07 Equipment,Operations,Meteo Modem.Com,10938,35672.33
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,35649.57
Ministry of Defence,Ministry of Defence,07/05/2010,Fees for professional services,Land Forces,CHUBB SECURITY PERSONNEL LIMITED,630268,35649.37
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Land Forces,FORBO FLOORING UK LIMITED,641440,35598.53
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,CHERWELL DISTRICT COUNCIL,637683,35514.42
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Programme Office,QINETIQ LIMITED,V - 9000122631 - 00080550,35417
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Air Command,PRAX PETROLEUM LTD,630793,35406.26
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,German Construction Authority,HOHI000769,35356.52
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,629404,35355.21
Ministry of Defence,Ministry of Defence,21/05/2010,Property leases,Defence Estates,BREY UTILITIES LIMITED,637634,35149
Ministry of Defence,Ministry of Defence,24/05/2010,Payment of utilities,Navy Command,SSE ENERGY SUPPLY LIMITED,638891,35124.12
Ministry of Defence,Defence Support Group,06/05/2010,Equipment Support-Other,Large Aircraft,Specialist Computer Centres,10113354,34943.25
Ministry of Defence,United Kingdom Hydrographic Office,14/05/2010,Assets under constuction,Print & Supply,Oce UK Ltd,5100077695,34890
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Defence Estates,LENGELING SERVICE GMBH UMWELTSERVICE GMBH,5000035442,34876.86
Ministry of Defence,Ministry of Defence,14/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,634161,34808.25
Ministry of Defence,Ministry of Defence,27/05/2010,Estate management,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,641350,34609.16
